id,name,iso_country,length_ft,width_ft
46491,Pontiac Airpark Water Aerodrome,CA,120000,1000
22159,Gunflint Seaplane Base,US,30000,5000
30788,Qamdo Bangda Airport,CN,18045,148
26407,Ulyanovsk East Airport,RU,16404,323
2847,Pierre Van Ryneveld Airport,ZA,16076,197
44686,Hamad International Airport,QA,15912,197
5292,Erbil International Airport,IQ,15748,246
3005,Robert Gabriel Mugabe International Airport,ZW,15502,151
3040,Ndjili International Airport,CD,15420,197
3039,Hosea Kutako International Airport,NA,15010,148
44073,Summit Ice Landingstrip,GL,15000,200
44335,Yubileyniy Airfield,KZ,14765,275
300320,Al Maktoum International Airport,AE,14764,197
5139,Bushehr Airport,IR,14664,148
26555,Indira Gandhi International Airport,IN,14534,197
26727,Mandalay International Airport,MM,14003,200
4185,Charles de Gaulle International Airport,FR,13829,148
5112,King Khaled International Airport,SA,13796,197
5112,King Khaled International Airport,SA,13796,197
4760,Licenciado Adolfo Lopez Mateos International Airport,MX,13780,148
6426,Manas International Airport,KG,13780,180
6222,Inca Manco Capac International Airport,PE,13779,150
4595,Al Jufra Airport,LY,13729,197
4019,Adolfo Suárez Madrid–Barajas Airport,ES,13711,197
3172,Berbera Airport,SO,13582,164
26874,Kuala Lumpur International Airport,MY,13530,197
3206,Jomo Kenyatta International Airport,KE,13507,148
317457,İstanbul Airport,TR,13451,196
317457,İstanbul Airport,TR,13451,147
308273,Mariscal Sucre International Airport,EC,13445,148
4411,Ben Gurion International Airport,IL,13327,148
26828,Hang Nadim International Airport,ID,13270,148
300673,Merowe New Airport,SD,13186,197
4835,Antonio Maceo International Airport,CU,13130,148
3183,Cairo International Airport,EG,13124,197
3186,Hurghada International Airport,EG,13124,148
5546,JASDF Chitose Air Base,JP,13124,200
301881,Berlin Brandenburg Airport,DE,13123,148
2212,Frankfurt am Main Airport,DE,13123,197
2212,Frankfurt am Main Airport,DE,13123,148
2212,Frankfurt am Main Airport,DE,13123,148
2218,Munich Airport,DE,13123,197
2218,Munich Airport,DE,13123,197
2563,Luxembourg-Findel International Airport,LU,13123,197
2864,Sir Seretse Khama International Airport,BW,13123,148
4251,Eleftherios Venizelos International Airport,GR,13123,148
299738,Duqm International Airport,OM,13123,194
5242,Muscat International Airport,OM,13123,
5245,Thumrait Air Base,OM,13123,148
5906,Rio Galeão – Tom Jobim International Airport,BR,13123,148
6184,El Alto International Airport,BO,13123,151
6440,Heydar Aliyev International Airport,AZ,13123,197
6467,Boryspil International Airport,UA,13123,197
6468,Donetsk Sergei Prokofiev International Airport,UA,13123,196
26392,Tashkent International Airport,UZ,13123,197
28118,Suvarnabhumi Airport,TH,13123,197
26887,Singapore Changi Airport /  Changi Air Base (West),SG,13123,197
26887,Singapore Changi Airport /  Changi Air Base (West),SG,13123,197
26887,Singapore Changi Airport /  Changi Air Base (West),SG,13123,197
30591,Flughafen München-Riem,DE,13123,197
30591,Flughafen München-Riem,DE,13123,197
5653,Incheon International Airport,KR,13000,197
27145,Sydney Kingsford Smith International Airport,AU,12999,148
2894,Kenneth Kaunda International Airport,ZM,12998,150
5079,Bahrain International Airport,BH,12979,197
4340,Malpensa International Airport,IT,12861,197
4340,Malpensa International Airport,IT,12861,197
2434,London Heathrow Airport,GB,12799,164
4490,Geneva Cointrin International Airport,CH,12795,164
2118,Murtala Muhammed International Airport,NG,12794,197
2148,Tinfouchy Airport,DZ,12737,246
6446,Zvartnots International Airport,AM,12629,184
4461,Humberto Delgado Airport (Lisbon Portela Airport),PT,12484,148
27203,Pyongyang Sunan International Airport,KP,12475,197
26708,Tan Son Nhat International Airport,VN,12468,148
2513,Amsterdam Airport Schiphol,NL,12467,198
3157,Addis Ababa Bole International Airport,ET,12467,148
5222,Beirut Rafic Hariri International Airport,LB,12467,148
6104,El Dorado International Airport,CO,12467,148
6104,El Dorado International Airport,CO,12467,148
26380,Ashgabat International Airport,TM,12467,151
26384,Turkmenabat Airport,TM,12467,197
26535,Hong Kong International Airport,HK,12467,197
26535,Hong Kong International Airport,HK,12467,197
6015,Comodoro Arturo Merino Benítez International Airport,CL,12303,180
6015,Comodoro Arturo Merino Benítez International Airport,CL,12303,148
5689,Ninoy Aquino International Airport,PH,12261,197
3113,Mohammed V International Airport,MA,12205,148
3113,Mohammed V International Airport,MA,12205,148
2942,Quatro de Fevereiro Airport,AO,12190,148
4408,Václav Havel Airport Prague,CZ,12189,148
4296,Budapest Liszt Ferenc International Airport,HU,12162,149
6501,Minsk National Airport,BY,12139,197
2162,Liège Airport,BE,12106,148
2637,Warsaw Chopin Airport,PL,12106,196
5433,Antonio B. Won Pat International Airport,GU,12015,150
3092,Sukhumi Babushara /  Vladislav Ardzinba International Airport,GE,12012,172
2975,Maputo Airport,MZ,12008,148
5212,Queen Alia International Airport,JO,12008,200
5212,Queen Alia International Airport,JO,12008,200
5528,Taiwan Taoyuan International Airport,TW,12008,197
2880,Diego Garcia Naval Support Facility,IO,12003,200
333692,Islamabad International Airport,PK,12001,147
333692,Islamabad International Airport,PK,12001,197
3263,Entebbe International Airport,UG,12000,150
5054,South Pole Station Airport,AQ,12000,200
26633,Gan International Airport,MV,12000,165
26819,Brunei International Airport,BN,12000,150
5023,Auckland International Airport,NZ,11926,148
5305,Qamishli Airport,SY,11860,150
3254,Kilimanjaro International Airport,TZ,11834,148
5070,Bagram Airfield,AF,11820,151
2542,Copenhagen Kastrup Airport,DK,11811,148
2578,Oslo Gardermoen Airport,NO,11811,148
308033,King Mswati III International Airport,SZ,11811,197
3076,Banjul International Airport,GM,11811,148
3170,Bujumbura Melchior Ndadaye International Airport,BI,11811,148
3977,Sofia Airport,BG,11811,147
4434,Vienna International Airport,AT,11811,148
4571,Chişinău International Airport,MD,11779,145
6379,Rafael Hernandez Airport,PR,11702,200
5834,Piloto Civil N. Fernández Airport,AR,11644,148
4427,Malta International Airport,MT,11627,197
